open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2023-12-12 00:00:00,1393.7,1395.9,1375.5,1382.6,4710.674,6527389.7574,35172,2055.151,2847648.6234
2023-12-12 04:00:00,1382.6,1393.7,1378.8,1392.1,3471.812,4811795.3556,25890,1623.506,2250611.6036
2023-12-12 08:00:00,1392.2,1395.8,1366.4,1366.4,3717.3,5140931.6638,27893,1468.558,2032884.0417
2023-12-12 12:00:00,1366.4,1375.7,1334.4,1345.9,6926.477,9404953.7272,53297,3243.549,4403484.6323
2023-12-12 16:00:00,1345.8,1364.9,1339.8,1357.9,5005.116,6766775.5447,41485,2585.418,3496110.1529
2023-12-12 20:00:00,1357.9,1367.7,1348.2,1361.4,4048.56,5495967.1767,27573,1988.672,2699565.0558
2023-12-13 00:00:00,1361.3,1364.3,1323.3,1327.3,6075.761,8153517.154,47091,2885.819,3871816.0403
2023-12-13 04:00:00,1327.3,1347.3,1317.7,1345.5,4757.401,6333646.521,37724,2362.562,3145605.2842
2023-12-13 08:00:00,1345.6,1349.7,1338.4,1340.9,2608.276,3505973.664,24144,1194.118,1605281.6783
2023-12-13 12:00:00,1340.9,1358.0,1337.8,1351.4,3518.858,4739047.7776,30051,1737.843,2341195.382
2023-12-13 16:00:00,1351.5,1374.9,1344.7,1373.4,3414.649,4634550.0601,30329,1765.401,2395954.6449
2023-12-13 20:00:00,1373.5,1376.0,1360.3,1364.1,4241.857,5801224.7079,30577,1822.137,2492344.5914
2023-12-14 00:00:00,1364.2,1369.5,1359.9,1366.2,2710.456,3700144.5012,23853,1370.722,1871326.6604
2023-12-14 04:00:00,1366.1,1380.0,1365.0,1375.4,2526.521,3467200.9886,19822,1277.266,1752906.354
2023-12-14 08:00:00,1375.3,1383.2,1365.8,1383.0,3326.925,4565686.8493,23418,1621.894,2226444.2128
2023-12-14 12:00:00,1383.0,1383.9,1321.0,1361.3,7976.138,10825408.8454,56697,3605.679,4891266.4666
2023-12-14 16:00:00,1361.3,1370.4,1347.6,1349.7,4208.099,5731230.0186,29500,1946.316,2650887.6861
2023-12-14 20:00:00,1349.7,1380.9,1348.0,1363.9,4467.036,6091266.2856,28168,2406.686,3280207.6744
